,lon,lat
OSHKOSH -  WI,-88.5426136,44.0247062
VENTURA -  CA,-119.2290316,34.274646
WOODBRIDGE -  NJ,-74.2846022,40.5575986
PICO RIVERA -  CA,-118.096735,33.9830688
COCOA -  FL,-80.7419984,28.3861159
LAKE ORION -  MI,-83.2396612,42.7844752
WOOD DALE -  IL,-87.9789562,41.9633625
LISLE -  IL,-88.0747875,41.801141
WOODBURY -  NY,-73.4676225,40.8256545
NIXA -  MO,-93.294353,37.0433863
BATAVIA -  IL,-88.3125738,41.8500284
WILKINSON -  IN,-85.6088646,39.8858775
WAKEFIELD -  RI,-71.5014469,41.4373239
FLORENCE -  SC,-79.7625625,34.1954331
SCOTTSDALE -  AZ,-111.9260519,33.4941704
SANTA FE SPRINGS -  CA,-118.0853451,33.9472359
LONG BEACH -  CA,-118.1937395,33.7700504
SAN RAMON -  CA,-121.9780153,37.7799273
HAMILTON -  MT,-114.1548161,46.2471437
RACINE -  WI,-87.7828523,42.7261309
WEST COLUMBIA -  SC,-81.0739825,33.9934867
HURST -  TX,-97.1705678,32.8234621
QUINCY -  IL,-91.4098726,39.9356016
NORTH BERGEN -  NJ,-74.012084,40.8042674
SPRINGFIELD -  MA,-72.589811,42.1014831
SUNRISE -  FL,-80.256595,26.1669711
OAKHURST -  CA,-119.6493154,37.3279997
RINGWOOD -  NJ,-74.2454254,41.1134289
CENTENNIAL -  CO,-104.8771726,39.5807452
MENDOTA HEIGHTS -  MN,-93.1382749,44.8835768
COMPTON -  CA,-118.2200712,33.8958492
OAKLAND -  CA,-122.2711137,37.8043637
ANTIOCH -  IL,-88.0956396,42.4772418
FORT WAYNE -  IN,-85.1393513,41.079273
AUBURN -  WA,-122.2284532,47.3073228
WOODBRIDGE -  ON,-79.612977,43.7890469
FRANKLIN PARK -  IL,-87.879523,41.9348537
RIVERSIDE -  CA,-117.3961564,33.9533487
MORTON GROVE -  IL,-87.7825621,42.0405852
LA PUENTE -  CA,-117.9495083,34.0200114
COLD SPRING -  KY,-84.4399406,39.0217283
ELIZABETH -  NJ,-74.2107006,40.6639916
PLAINFIELD -  IN,-86.3994387,39.7042123
TONTITOWN -  AR,-94.2335396,36.1778565
AYER -  MA,-71.5899054,42.5611947
CARLSTADT -  NJ,-74.0906974,40.8403778
LEWISVILLE -  TX,-96.994174,33.046233
RIVERSIDE -  RI,-71.3647759,41.7673231
HACKETTSTOWN -  NJ,-74.8290555,40.8539879
CARROLLTON -  TX,-96.8899636,32.9756415
WHEATON -  IL,-88.1070127,41.8661403
EASTON -  PA,-75.2207323,40.688432
STILWELL -  KS,-94.6592143,38.7672883
MOUNT LAUREL -  NJ,-74.8909988,39.934002
LAREDO -  TX,-99.4803241,27.5305671
BENSENVILLE -  IL,-87.9400657,41.9550296
CALERA -  AL,-86.7535975,33.1028965
OLD HICKORY -  TN,-86.6477748,36.2574941
GLEN ROCK -  NJ,-74.1329207,40.9628758
DUBLIN -  CA,-121.9357918,37.7021521
POTSDAM -  NY,-74.9813084,44.6697805
NEWNAN -  GA,-84.7996573,33.3806716
GLADSTONE -  OR,-122.5948139,45.3806761
CARLISLE -  PA,-77.195,40.2025
MILWAUKEE -  WI,-87.9064736,43.0389025
SACRAMENTO -  CA,-121.4943996,38.5815719
RICHMOND -  VA,-77.4360481,37.5407246
JERSEY CITY -  NJ,-74.0776417,40.7281575
LOUISVILLE -  KY,-85.7584557,38.2526647
OAKDALE -  MN,-92.9649361,44.9630216
HOUSTON -  AL,-87.2580686,34.1414925
IRVINE -  CA,-117.7946942,33.6839473
FINDLAY -  OH,-83.6499321,41.04422
ALTAMAHAW -  NC,-79.5072461,36.1843016
MAYNARD -  MA,-71.4495058,42.4334903
LATHAM -  NY,-73.758889,42.746944
BROOMALL -  PA,-75.354722,39.971667
LEE -  NH,-71.0120127,43.122244
ROUND LAKE -  NY,-73.7898429,42.9386871
RED BANK -  NJ,-74.0643065,40.3470543
MONTVALE -  NJ,-74.0229173,41.0467635
WHITMORE LAKE -  MI,-83.7438303,42.439479
STRAFFORD -  MO,-93.1171264,37.2683802
MIRAMAR -  FL,-80.3035602,25.9860762
VINCENTOWN -  NJ,-74.748611,39.933889
MONTEREY PARK -  CA,-118.1228476,34.0625106
LAS VEGAS -  NV,-115.1398296,36.1699412
HINSDALE -  IL,-87.9370052,41.8008642
CARMEL -  IN,-86.1180435,39.978371
TAYLOR -  MI,-83.2696509,42.240872
ROCK ISLAND -  IL,-90.5787476,41.5094771
MALVERN -  AR,-92.8129462,34.3623149
ROBESONIA -  PA,-76.134389,40.3517591
NEWTON -  MA,-71.2092214,42.3370413
RUTHERFORD -  NJ,-74.1068091,40.826489
OAKVILLE -  ON,-79.6876659,43.467517
GAINESVILLE -  GA,-83.8240663,34.2978794
TUCKER -  GA,-84.2171424,33.8545479
SPRING -  TX,-95.4171601,30.0799405
NORTH BRUNSWICK -  NJ,-74.4766712,40.4525163
LINCOLNWOOD -  IL,-87.7300594,42.0044757
